timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736264504365,338,get_characters,200,OK,Thread Group 1-412,text,true,,3271,159,467,467,http://localhost:3001/characters,327,0,2
1736264504424,278,get_characters,200,OK,Thread Group 1-428,text,true,,3271,159,467,467,http://localhost:3001/characters,195,0,2
1736264504344,398,get_characters,200,OK,Thread Group 1-195,text,true,,3271,159,473,473,http://localhost:3001/characters,398,0,31
1736264504400,342,get_characters,200,OK,Thread Group 1-161,text,true,,3271,159,473,473,http://localhost:3001/characters,258,0,1
1736264504337,405,get_characters,200,OK,Thread Group 1-110,text,true,,3271,159,473,473,http://localhost:3001/characters,319,0,59
1736264504398,344,get_characters,200,OK,Thread Group 1-423,text,true,,3271,159,473,473,http://localhost:3001/characters,257,0,1
1736264504324,384,get_characters,200,OK,Thread Group 1-276,text,true,,3271,159,469,469,http://localhost:3001/characters,362,0,117
1736264504382,348,get_characters,200,OK,Thread Group 1-417,text,true,,3271,159,472,472,http://localhost:3001/characters,348,0,5
1736264504344,399,get_characters,200,OK,Thread Group 1-42,text,true,,3271,159,473,473,http://localhost:3001/characters,399,0,31
1736264504342,399,get_characters,200,OK,Thread Group 1-406,text,true,,3271,159,473,473,http://localhost:3001/characters,399,0,45
1736264504399,342,get_characters,200,OK,Thread Group 1-22,text,true,,3271,159,473,473,http://localhost:3001/characters,261,0,0
1736264504344,397,get_characters,200,OK,Thread Group 1-96,text,true,,3271,159,473,473,http://localhost:3001/characters,397,0,34
1736264504349,392,get_characters,200,OK,Thread Group 1-108,text,true,,3271,159,473,473,http://localhost:3001/characters,392,0,16
1736264504337,411,get_characters,200,OK,Thread Group 1-218,text,true,,3271,159,473,473,http://localhost:3001/characters,410,0,23
1736264504346,411,get_characters,200,OK,Thread Group 1-320,text,true,,3271,159,474,474,http://localhost:3001/characters,411,0,26
1736264504335,422,get_characters,200,OK,Thread Group 1-100,text,true,,3271,159,474,474,http://localhost:3001/characters,422,0,36
1736264504258,452,get_characters,200,OK,Thread Group 1-118,text,true,,3271,159,469,469,http://localhost:3001/characters,421,0,192
1736264504438,275,get_characters,200,OK,Thread Group 1-16,text,true,,3271,159,470,470,http://localhost:3001/characters,237,0,1
1736264504246,464,get_characters,200,OK,Thread Group 1-126,text,true,,3271,159,469,469,http://localhost:3001/characters,430,0,193
1736264504220,495,get_characters,200,OK,Thread Group 1-308,text,true,,3271,159,471,471,http://localhost:3001/characters,452,0,219
1736264504327,381,get_characters,200,OK,Thread Group 1-141,text,true,,3271,159,469,469,http://localhost:3001/characters,353,0,113
1736264504324,384,get_characters,200,OK,Thread Group 1-97,text,true,,3271,159,469,469,http://localhost:3001/characters,357,0,117
1736264504356,406,get_characters,200,OK,Thread Group 1-278,text,true,,3271,159,476,476,http://localhost:3001/characters,406,0,14
1736264504338,377,get_characters,200,OK,Thread Group 1-405,text,true,,3271,159,471,471,http://localhost:3001/characters,332,0,56
1736264504328,387,get_characters,200,OK,Thread Group 1-400,text,true,,3271,159,471,471,http://localhost:3001/characters,342,0,112
1736264504344,419,get_characters,200,OK,Thread Group 1-93,text,true,,3271,159,476,476,http://localhost:3001/characters,419,0,25
1736264504348,415,get_characters,200,OK,Thread Group 1-219,text,true,,3271,159,476,476,http://localhost:3001/characters,415,0,21
